Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me)
b,0,,0.1253,textures/earth.jpg,-,-,-,-,-,-,,0.045331507,,Radial Velocity,
c,0,,0.2665,textures/earth.jpg,-,-,-,-,-,-,,0.14050411,,Radial Velocity,
d,0,,0.8181,textures/earth.jpg,-,-,-,-,-,-,,0.752027397,,Radial Velocity,
HD 10180,1,1.10851,127,textures/sol.png,01.37.53.58,-60.30.41.5,7.33,G,G1V,7,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,0.0641,textures/earth.jpg,-,-,-,-,-,-,,0.015780247,,Radial Velocity,13.19110558
d,0,,0.1286,textures/earth.jpg,-,-,-,-,-,-,,0.044816164,,Radial Velocity,11.96735272
e,0,,0.2699,textures/earth.jpg,-,-,-,-,-,-,,0.136287671,,Radial Velocity,25.35836495
f,0,,0.4929,textures/earth.jpg,-,-,-,-,-,-,,0.336328767,,Radial Velocity,23.62178321
g,0,,1.422,textures/earth.jpg,-,-,-,-,-,-,,1.647123288,,Radial Velocity,21.41489644
h,0,,3.4,textures/earth.jpg,-,-,-,-,-,-,,6.087671233,,Radial Velocity,65.4807099
HD 47186,1,1.13117,129,textures/sol.png,06.36.08.79,-27.37.20.3,7.79,G,G6V,2,-,-,-,-,
b,0,,0.05,textures/earth.jpg,-,-,-,-,-,-,,0.011190411,,Radial Velocity,22.62949618
c,0,,2.395,textures/earth.jpg,-,-,-,-,-,-,,3.708493151,,Radial Velocity,110.6907585
HR 8799,1,1.44,129,textures/sol.png,23.07.28.72,+21.08.03.3,5.96,A,A5V,4,-,-,-,-,
b,0,1.2,68,textures/earth.jpg,-,-,-,-,-,-,,465.7534247,,Imaging,
c,0,1.2,38,textures/earth.jpg,-,-,-,-,-,-,,189.0410959,,Imaging,
d,0,1.37,24,textures/earth.jpg,-,-,-,-,-,-,,101.369863,,Imaging,
e,0,,14.5,textures/earth.jpg,-,-,-,-,-,-,,49.31506849,,Imaging,
HD 38529,1,2.02418,138,textures/sol.png,05.46.35.96,+01.10.06.7,5.94,G,G4V,2,-,-,-,-,
b,0,,0.129,textures/earth.jpg,-,-,-,-,-,-,,0.03920274,,Radial Velocity,255.2903247
c,0,,3.68,textures/earth.jpg,-,-,-,-,-,-,,5.956986301,,Radial Velocity,3896.527001
HD 93385,1,,138,textures/sol.png,10.46.15,-41.27.52,7.49,G,G2V,2,-,-,-,-,
b,0,,0.1116,textures/earth.jpg,-,-,-,-,-,-,,0.036126027,,Radial Velocity,
c,0,,0.257,textures/earth.jpg,-,-,-,-,-,-,,0.12609589,,Radial Velocity,
BD-08.2823,1,1.27853,139,textures/sol.png,10.00.47.82,-09.31.00,9.86,K,K3V,2,-,-,-,-,
b,0,,0.056,textures/earth.jpg,-,-,-,-,-,-,,0.015342466,,Radial Velocity,
c,0,,0.68,textures/earth.jpg,-,-,-,-,-,-,,0.650958904,,Radial Velocity,
HD 147018,1,1.05268,140,textures/sol.png,16.23.00,-61.41.19.5,8.37,G,G9V,2,-,-,-,-,
b,0,,0.2388,textures/earth.jpg,-,-,-,-,-,-,,0.121194521,,Radial Velocity,676.0308923
c,0,,1.922,textures/earth.jpg,-,-,-,-,-,-,,2.761643836,,Radial Velocity,2095.539718
HD 37605,1,0.916831,140,textures/sol.png,05.40.01.73,+06.03.38.1,8.69,K,K0,2,-,-,-,-,
b,0,,0.25,textures/earth.jpg,-,-,-,-,-,-,,0.150684932,,Radial Velocity,890.4395129
c,0,,3.814,textures/earth.jpg,-,-,-,-,-,-,,7.452054795,,Radial Velocity,1069.618162
HD 215497,1,1.10659,142,textures/sol.png,22.46.36.75,-56.35.58.3,8.97,K,K3V,2,-,-,-,-,
b,0,,,textures/earth.jpg,-,-,-,-,-,-,,0.010767123,,Radial Velocity,HD 215497
c,0,,,textures/earth.jpg,-,-,-,-,-,-,,1.553424658,,Radial Velocity,HD 215497
HD 20003,1,,143,textures/sol.png,03.07.38,-72.19.19,8.37,G,G8V,2,-,-,-,-,
b,0,,0.0974,textures/earth.jpg,-,-,-,-,-,-,,0.032463014,,Radial Velocity,
c,0,,0.1961,textures/earth.jpg,-,-,-,-,-,-,,0.092665753,,Radial Velocity,
HD 155358,1,1.49875,144,textures/sol.png,17.09.34.62,+33.21.21.1,7.27,G,G0V,2,-,-,-,-,
b,0,,0.64,textures/earth.jpg,-,-,-,-,-,-,,0.532328767,,Radial Velocity,260.445628
c,0,,1.02,textures/earth.jpg,-,-,-,-,-,-,,1.07369863,,Radial Velocity,256.4878577
HIP 5158,1,0.986271,146,textures/sol.png,01.06.02.05,-22.27.11.4,10.21,K,K5,2,-,-,-,-,
b,0,,0.89,textures/earth.jpg,-,-,-,-,-,-,,0.947178082,,Radial Velocity,453.3113674
c,0,,7.7,textures/earth.jpg,-,-,-,-,-,-,,24.70630137,,Radial Velocity,
HD 187123,1,1.14277,157,textures/sol.png,19.46.58.11,+34.25.10.3,7.83,G,G5V,2,-,-,-,-,
b,0,,0.042,textures/earth.jpg,-,-,-,-,-,-,,0.008484932,,Radial Velocity,162.1042696
c,0,,4.89,textures/earth.jpg,-,-,-,-,-,-,,10.43835616,,Radial Velocity,617.2634227
HD 204313,1,1.12584,154,textures/sol.png,21.28.12.21,-21.43.34.5,7.99,G,G5V,3,-,-,-,-,
b,0,,3.082,textures/earth.jpg,-,-,-,-,-,-,,5.290410959,,Radial Velocity,1112.637819
c,0,,0.2103,textures/earth.jpg,-,-,-,-,-,-,,0.095542466,,Radial Velocity,
d,0,,3.93,textures/earth.jpg,-,-,-,-,-,-,,7.757808219,,Radial Velocity,
Cha 110913-773444,1,,163,textures/sol.png,11.09.13.63,-77.34.44.6,21.59,L,L,4,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
d,0,,,,,,,,,,,,,,
e,0,,,,,,,,,,,,,,
HD 11506,1,1.26275,169,textures/sol.png,01.52.50.53,-19.30.25.1,7.54,G,G0V,2,-,-,-,-,
b,0,,2.43,textures/earth.jpg,-,-,-,-,-,-,,3.48,,Radial Velocity,1504.76631
c,0,,0.639,textures/earth.jpg,-,-,-,-,-,-,,0.467,,Radial Velocity,
HD 41248,1,,171,textures/sol.png,06.00.33.0,-56.09.43,8.82,G,G2V,2,-,-,-,-,
b,0,,0.137,textures/earth.jpg,-,-,-,-,-,-,,0.050293151,,Radial Velocity,
c,0,,0.172,textures/earth.jpg,-,-,-,-,-,-,,0.070268493,,Radial Velocity,
HD 9446,1,0.919448,171,textures/sol.png,01.33.20.18,+29.15.54.5,8.35,G,G5V,2,-,-,-,-,
b,0,,0.189,textures/earth.jpg,-,-,-,-,-,-,,0.082334247,,Radial Velocity,222.0803958
c,0,,0.654,textures/earth.jpg,-,-,-,-,-,-,,0.528493151,,Radial Velocity,576.9897017
HD 159868,1,1.84825,172,textures/sol.png,17.38.59.53,-43.08.43.8,7.27,G,G5V,2,-,-,-,-,
b,0,,2.25,textures/earth.jpg,-,-,-,-,-,-,,3.228493151,,Radial Velocity,699.2092578
c,0,,1,textures/earth.jpg,-,-,-,-,-,-,,0.965205479,,Radial Velocity,232.0061263
HIP 14810,1,1.31998,174,textures/sol.png,03.11.14.23,+21.05.50.5,8.51,G,G5V,3,-,-,-,-,
b,0,,0.0692,textures/earth.jpg,-,-,-,-,-,-,,0.018284534,,Radial Velocity,1231.351857
c,0,,0.545,textures/earth.jpg,-,-,-,-,-,-,,0.404739726,,Radial Velocity,405.2733866
d,0,,1.89,textures/earth.jpg,-,-,-,-,-,-,,2.608219178,,Radial Velocity,184.5243246
HD 125612,1,1.0426,177,textures/sol.png,14.20.53.51,-17.28.53.5,8.33,G,G3V,3,-,-,-,-,
b,0,,1.37,textures/earth.jpg,-,-,-,-,-,-,,1.53260274,,Radial Velocity,975.0772547
c,0,,0.05,textures/earth.jpg,-,-,-,-,-,-,,0.01138274,,Radial Velocity,18.45456183
d,0,,4.2,textures/earth.jpg,-,-,-,-,-,-,,8.24109589,,Radial Velocity,
HD 207832,1,0.901,177,textures/sol.png,21.52.36.0,-26.01.36,8.79,G,G5V,2,-,-,-,-,
b,0,,0.57,textures/earth.jpg,-,-,-,-,-,-,,0.443753425,,Radial Velocity,179.3045046
c,0,,2.112,textures/earth.jpg,-,-,-,-,-,-,,3.16630137,,Radial Velocity,232.0995644
HD 183263,1,1.11717,180,textures/sol.png,19.28.24.57,+08.21.30.0,7.86,G,G2IV,2,-,-,-,-,
b,0,,1.52,textures/earth.jpg,-,-,-,-,-,-,,1.737616438,,Radial Velocity,1136.019587
c,0,,4.25,textures/earth.jpg,-,-,-,-,-,-,,8.082191781,,Radial Velocity,1104.876737
HD 177830,1,3.99397,193,textures/sol.png,19.05.20.77,+25.55.14.4,7.18,K,K0IV,2,-,-,-,-,
b,0,,1.2218,textures/earth.jpg,-,-,-,-,-,-,,1.113972603,,Radial Velocity,419.4130476
c,0,,0.5137,textures/earth.jpg,-,-,-,-,-,-,,0.303835616,,Radial Velocity,
HD 109271,1,,202,textures/sol.png,12.33.36.0,-11.37.19,8.05,G,G5,2,-,-,-,-,
b,0,,0.079,textures/earth.jpg,-,-,-,-,-,-,,0.02151863,,Radial Velocity,
c,0,,0.196,textures/earth.jpg,-,-,-,-,-,-,,0.084739726,,Radial Velocity,
HD 108874,1,1.12115,204,textures/sol.png,12.30.26.88,+22.52.47.4,8.74,G,G5V,2,-,-,-,-,
b,0,,1.053,textures/earth.jpg,-,-,-,-,-,-,,1.080767123,,Radial Velocity,410.0469921
c,0,,2.77,textures/earth.jpg,-,-,-,-,-,-,,4.602739726,,Radial Velocity,326.8330687
HD 74156,1,1.345,210,textures/sol.png,08.42.25.12,+04.34.41.2,7.61,G,G0IV,2,-,-,-,-,
b,0,,0.294,textures/earth.jpg,-,-,-,-,-,-,,0.141506849,,Radial Velocity,563.622335
c,0,,3.85,textures/earth.jpg,-,-,-,-,-,-,,6.783561644,,Radial Velocity,2620.91918
Kepler-37,1,0.77,215,textures/sol.png,18.58.23.1,+44.31.05,9.77,G,G,3,-,-,-,-,
b,0,0.027,0.1003,textures/earth.jpg,-,-,-,-,-,-,,0.036622762,88.63,Transit,
c,0,0.066,0.1368,textures/earth.jpg,-,-,-,-,-,-,,0.058361332,89.07,Transit,
d,0,0.178,0.2076,textures/earth.jpg,-,-,-,-,-,-,,0.10901969,89.335,Transit,
HD 200964,1,3.80029,223,textures/sol.png,21.06.39.84,+03.48.11.2,6.49,K,K0III,2,-,-,-,-,
b,0,,1.601,textures/earth.jpg,-,-,-,-,-,-,,1.681643836,,Radial Velocity,619.3387652
c,0,,1.95,textures/earth.jpg,-,-,-,-,-,-,,2.260273973,,Radial Velocity,300.5661614
HD 163607,1,1.69594,225,textures/sol.png,17.53.40,+56.23.31,8.15,G,G5IV,2,-,-,-,-,
b,0,,0.36,textures/earth.jpg,-,-,-,-,-,-,,0.206273973,,Radial Velocity,244.3555264
c,0,,2.42,textures/earth.jpg,-,-,-,-,-,-,,3.6,,Radial Velocity,728.5628
24 Sextantis,1,3.92062,253,textures/sol.png,10.23.28.37,-00.54.08.1,6.44,G,G5III,2,-,-,-,-,
b,0,,1.333,textures/earth.jpg,-,-,-,-,-,-,,1.240547945,,Radial Velocity,583.3968846
c,0,,2.08,textures/earth.jpg,-,-,-,-,-,-,,2.419178082,,Radial Velocity,482.1786502
HAT-P-17,1,0.837,295,textures/sol.png,21.38.08.73,+30.29.19.4,10.54,K,K0V,2,-,-,-,-,
b,0,1.01,0.0882,textures/earth.jpg,-,-,-,-,-,-,,0.028324721,89.2,Transit,168.4930191
c,0,,5.6,textures/earth.jpg,-,-,-,-,-,-,,15.29863014,,Radial Velocity,
HD 73526,1,1.45542,328,textures/sol.png,08.37.16.48,-41.19.08.8,9,G,G6V,2,-,-,-,-,
b,0,,0.66,textures/earth.jpg,-,-,-,-,-,-,,0.515890411,,Radial Velocity,907.5571156
c,0,,1.05,textures/earth.jpg,-,-,-,-,-,-,,1.035068493,,Radial Velocity,769.4022346
HD 16031,1,,362,textures/sol.png,02.34.11,-12.23.03,9.76,F,F2V,2,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
HD 47536,1,,402,textures/sol.png,06.37.47.62,-32.20.23.0,5.26,K,K1III,2,-,-,-,-,
b,0,,,textures/earth.jpg,-,-,-,-,-,-,,1.178082192,,Radial Velocity,
c,0,,,textures/earth.jpg,-,-,-,-,-,-,,6.849315068,,Radial Velocity,
Kepler-68,1,1.243,440,textures/sol.png,04.25.29.0,+49.02.25.0,,,,3,-,-,-,-,
b,0,0.206,0.0617,textures/earth.jpg,-,-,-,-,-,-,,0.014791132,87.6,Transit,8.321392337
c,0,0.085,0.09059,textures/earth.jpg,-,-,-,-,-,-,,0.026315301,86.93,Transit,4.81237913
d,0,,1.4,textures/earth.jpg,-,-,-,-,-,-,,1.589041096,,Radial Velocity,268.6862949
COROT-7,1,0.87,489,textures/sol.png,06.43.49.47,-01.03.46.9,11.73,K,K0V,2,-,-,-,-,
b,0,0.15,0.0172,textures/earth.jpg,-,-,-,-,-,-,,0.002338589,80.1,Transit,5.021470679
c,0,,0.046,textures/earth.jpg,-,-,-,-,-,-,,0.010131507,,Radial Velocity,
Kepler-10,1,1.056,564,textures/sol.png,19.02.33.06,+50.14.28.7,10.96,G,G5V,2,-,-,-,-,
b,0,0.126,0.01684,textures/earth.jpg,-,-,-,-,-,-,,0.002294507,84.4,Transit,
c,0,0.199,0.2407,textures/earth.jpg,-,-,-,-,-,-,,0.124095479,89.65,Transit,
HAT-P-13,1,1.56,698,textures/sol.png,08.39.31.81,+47.21.07.3,10.62,G,G4,2,-,-,-,-,
b,0,1.271,0.0427,textures/earth.jpg,-,-,-,-,-,-,,0.007989753,83.4,Transit,272.3942613
c,0,,1.188,textures/earth.jpg,-,-,-,-,-,-,,1.173972603,,Radial Velocity,4535.115918
HD 102272,1,12.7057,796,textures/sol.png,11.46.23.54,+14.07.26.3,8.71,K,K2III,2,-,-,-,-,
b,0,,0.614,textures/earth.jpg,-,-,-,-,-,-,,0.349534247,,Radial Velocity,1305.9021
c,0,,1.57,textures/earth.jpg,-,-,-,-,-,-,,1.424657534,,Radial Velocity,
Kepler-20,1,0.944,950,textures/sol.png,19.10.47.524,+42.20.19.30,12.51,G,G8,5,-,-,-,-,
b,0,0.17,0.04537,textures/earth.jpg,-,-,-,-,-,-,,0.010126361,86.5,Transit,
c,0,0.274,0.093,textures/earth.jpg,-,-,-,-,-,-,,0.029737238,88.39,Transit,
d,0,0.245,0.3453,textures/earth.jpg,-,-,-,-,-,-,,0.212635178,89.57,Transit,
e,0,0.077,0.063351,textures/earth.jpg,-,-,-,-,-,-,,0.0167082,87.5,Transit,
f,0,0.092,0.137859,textures/earth.jpg,-,-,-,-,-,-,,0.053635781,88.68,Transit,
PSR B1257+12,1,,980,textures/sol.png,13.00.03.58,+12.40.56.5,24.31,,pulsar,3,-,-,-,-,
b,0,,0.19,textures/earth.jpg,-,-,-,-,-,-,,0.069210959,,Pulsar Timing,4.299804499
c,0,,0.36,textures/earth.jpg,-,-,-,-,-,-,,0.182306575,53,Pulsar Timing,4.300217661
d,0,,0.46,textures/earth.jpg,-,-,-,-,-,-,,0.269072329,47,Pulsar Timing,3.900213674
KOI-500,1,,1100,textures/sol.png,19.44.27.0,+39.58.44,15,,,5,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
d,0,,,,,,,,,,,,,,
e,0,,,,,,,,,,,,,,
f,0,,,,,,,,,,,,,,
Kepler-62,1,0.64,1200,textures/sol.png,18.52.51.0,+45.20.60,13.75,K,K2V,5,-,-,-,-,
b,0,0.117,0.0553,textures/earth.jpg,-,-,-,-,-,-,,0.015657348,89.2,Transit,
c,0,0.048,0.0929,textures/earth.jpg,-,-,-,-,-,-,,0.034086849,89.7,Transit,
d,0,0.174,0.12,textures/earth.jpg,-,-,-,-,-,-,,0.049764548,89.7,Transit,
e,0,0.144,0.427,textures/earth.jpg,-,-,-,-,-,-,,0.335307945,89.98,Transit,
f,0,0.126,0.718,textures/earth.jpg,-,-,-,-,-,-,,0.73230411,89.9,Transit,
Kepler-32,1,0.53,1301,textures/sol.png,19.51.22.0,+46.34.27,16,M,M1V,5,-,-,-,-,
b,0,0.196,0.05,textures/earth.jpg,-,-,-,-,-,-,,0.016167781,,Transit,
c,0,0.178,0.09,textures/earth.jpg,-,-,-,-,-,-,,0.02397863,,Transit,
d,0,0.241,0.128,textures/earth.jpg,-,-,-,-,-,-,,0.062411507,,Transit,
e,0,0.134,0.0323,textures/earth.jpg,-,-,-,-,-,-,,0.007934247,,Transit,
f,0,0.072,0.013,textures/earth.jpg,-,-,-,-,-,-,,0.002035507,,Transit,
NN Serpentis,1,,1593,textures/sol.png,15.52.56.13,+12.54.44.7,16.67,,WD+M,2,-,-,-,-,
c,0,,5.38,textures/earth.jpg,-,-,-,-,-,-,,15.50684932,,Eclipse Timing Variations,712.223848
d,0,,3.39,textures/earth.jpg,-,-,-,-,-,-,,7.753424658,,Eclipse Timing Variations,204.2356287
Kepler-11,1,1.065,1999,textures/sol.png,19.48.27.62,41.54.32.9,13.69,G,G4V,6,-,-,-,-,
b,0,0.161,0.091,textures/earth.jpg,-,-,-,-,-,-,,0.028229863,89.64,transit,
c,0,0.256,0.106,textures/earth.jpg,-,-,-,-,-,-,,0.035682466,89.59,transit,
d,0,0.278,0.155,textures/earth.jpg,-,-,-,-,-,-,,0.062149315,89.67,transit,
e,0,0.374,0.195,textures/earth.jpg,-,-,-,-,-,-,,0.087670137,88.89,transit,
f,0,0.222,0.25,textures/earth.jpg,-,-,-,-,-,-,,0.127914521,89.47,transit,
g,0,0.297,0.466,textures/earth.jpg,-,-,-,-,-,-,,0.324330685,89.87,transit,
Kepler-9,1,1.1,2754,textures/sol.png,19.02.17.76,+38.24.03.2,13.91,G,G2V,3,-,-,-,-,
b,0,0.842,0.14,textures/earth.jpg,-,-,-,-,-,-,,0.052712329,88.55,Transit,
c,0,0.823,0.225,textures/earth.jpg,-,-,-,-,-,-,,0.10660274,88.12,Transit,
d,0,0.146,0.0273,textures/earth.jpg,-,-,-,-,-,-,,0.004363975,,Transit,
Kepler-70,1,,3849,textures/sol.png,19.45.25,+41.05.34,14.87,,sdB,2,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
OGLE-2006-BLG-109L,1,,4850,textures/sol.png,17.52.35.22,-30.05.15.7,19.87,M,M1V,2,-,-,-,-,
b,0,,2.30586,textures/earth.jpg,-,-,-,-,-,-,,5,,Microlensing,
c,0,,4.8168,textures/earth.jpg,-,-,-,-,-,-,,13.97260274,59,Microlensing,
Kepler-47,1,0.964,4900,textures/sol.png,19.41.11.5,+46.55.13.69,15.178,,,2,-,-,-,-,
b,0,0.27,0.2962,textures/earth.jpg,-,-,-,-,-,-,,0.13570411,89.7,Transit,
c,0,0.411,0.991,textures/earth.jpg,-,-,-,-,-,-,,0.830512329,89.825,Transit,
